app_id,app_name,contacts,sms,microphone,location,photos_media_storage,disclosure_score,review_redflag_score,total_reviews,redflag_reviews,avg_review_sentiment,pct_strongly_negative_reviews,avg_review_length,install_count,composite_review_risk,label
com.fintech.lenditt,Lenditt: Personal Loan App,0,0,0,1,0,5,0.04,50.0,2.0,0.5937060000000001,0.06,31.16,1000000,0.5421439282359382,1
com.SwiftFunds,SwiftFunds : Payment App,0,0,0,1,1,2,0.0,5.0,0.0,0.46996000000000004,0.0,5.6,100,0.49999995499999955,1
com.kksv.salarynowapp,Salary Now - Instant Loans,0,0,0,0,0,4,0.04,50.0,2.0,0.5153880000000001,0.08,35.84,100000,0.5425939282404382,1
com.sequelstringai.rapidcash,RapidCash,0,0,0,0,0,1,0.0,23.0,0.0,0.25226521739130436,0.08695652173913043,11.826086956521738,10000,0.49999500499995003,1
com.earlysalary.android,Personal Loan App by Fibe,0,0,0,0,0,4,0.0,50.0,0.0,0.7222799999999999,0.04,60.52,10000000,0.49500000495000007,0
com.smfgindia.mconnect,SMFG India Credit mConnect,0,0,0,0,1,3,0.02,50.0,1.0,-0.272974,0.54,49.84,100000,0.5212719666199691,0
com.axis.mobile,"Axis Mobile: Pay, Invest & UPI",0,0,0,0,0,1,0.0,50.0,0.0,-0.240886,0.46,79.5,50000000,0.47500000475000004,0
com.hdfcbank.android.now,HDFC Bank App: Banking & Cards,0,0,0,1,1,1,0.02,50.0,1.0,-0.16053,0.42,72.72,10000000,0.5163219665704691,0
com.fedmobile,Federal Bank - FedMobile,0,0,0,1,1,1,0.02,50.0,1.0,0.096696,0.3,69.56,10000000,0.5163219665704691,0
com.moneytap.bnpl.app,"Freo - UPI, Insurance, Loans",1,1,0,1,1,3,0.0,48.0,0.0,-0.4039166666666667,0.6666666666666666,81.52083333333333,5000000,0.4975000049750001,0
com.myairtelapp,"Airtel: Recharge, Bank & Loans",0,1,0,1,0,2,0.06,50.0,3.0,-0.23525600000000002,0.5,78.92,500000000,0.31396588736140724,0
tech.fplabs.score,OneScore: Credit Score App,0,0,0,1,0,4,0.02,50.0,1.0,0.21952200000000002,0.16,38.12,10000000,0.5163219665704691,0
com.naviapp,"Navi: UPI, Payments, Insurance",1,1,0,1,1,1,0.0,50.0,0.0,0.160864,0.16,71.8,100000000,0.45000000450000005,0
com.mobikwik_new,"MobiKwik: Loans, UPI & Wallet",1,1,1,1,1,5,0.06,50.0,3.0,-0.453426,0.66,80.18,100000000,0.5139658893614073,0
com.kreditbee.android,"KreditBee: Personal Loans, UPI",1,1,1,1,1,4,0.06,50.0,3.0,0.27969,0.22,76.06,100000000,0.5139658893614073,0
com.whizdm.moneyview.loans,"Moneyview: UPI, Personal Loans",0,1,0,1,1,4,0.02,50.0,1.0,0.339458,0.14,83.46,50000000,0.4963219663704691,0
co.tslc.cashe.android,CASHe: Quick Personal Loan App,0,1,0,1,0,5,0.04,50.0,2.0,-0.279074,0.52,82.66,10000000,0.5376439281909382,0
com.mpokket.app,mPokket: Instant Loan App,0,1,0,1,1,5,0.02,50.0,1.0,0.10595800000000001,0.32,74.36,50000000,0.4963219663704691,0
com.phonepe.app,"PhonePe UPI Payments, Loan App",1,0,0,1,1,3,0.04,50.0,2.0,0.005365999999999999,0.36,73.26,500000000,0.29264392574093817,0
com.indialends.android,"IndiaLends-Loans, Credit Score",0,1,0,0,1,4,0.02,50.0,1.0,-0.169736,0.42,63.4,5000000,0.5188219665954692,0
com.nextbillion.groww,"Groww Stocks, Mutual Fund, IPO",0,0,0,1,1,4,0.02,50.0,1.0,0.188896,0.24,64.14,100000000,0.4713219661204691,0
com.stashfin.android,"Stashfin UPI, Pay Bills, Loans",0,0,0,1,0,5,0.143,49.0,7.0,0.12139183673469388,0.3673469387755102,57.6530612244898,10000000,0.647452030536354,0
com.citrus.citruspay,LazyPay: Loan App & Pay Later,0,1,1,1,1,4,0.104,48.0,5.0,-0.33176041666666667,0.625,86.52083333333333,10000000,0.6058742053764393,0
com.branch_international.branch.branch_demo_android,Branch Instant Personal Loan,0,1,0,1,1,4,0.0,50.0,0.0,0.025683999999999988,0.4,73.06,50000000,0.47500000475000004,0
com.sbi.lotusintouch,YONO SBI: Banking & Lifestyle,0,0,0,1,1,1,0.0,50.0,0.0,0.001160000000000001,0.3,74.06,100000000,0.45000000450000005,0
com.csam.icici.bank.imobile,"iMobile: Loan, Cards & Banking",0,0,0,0,0,3,0.0,50.0,0.0,-0.176704,0.48,72.44,50000000,0.47500000475000004,0
com.kotak811mobilebankingapp.instantsavingsupiscanandpayrecharge,Kotak Bank: 811 Mobile App,0,0,0,1,0,2,0.0,50.0,0.0,0.16470600000000002,0.24,65.16,50000000,0.47500000475000004,0
com.bankofbaroda.mconnect,bob World:Banking & Experience,0,0,0,0,0,1,0.02,50.0,1.0,-0.23741,0.5,69.9,50000000,0.4963219663704691,0
com.canarabank.mobility,Canara ai1- Mobile Banking App,0,0,0,0,0,1,0.0,50.0,0.0,-0.155256,0.4,66.84,50000000,0.47500000475000004,0
money.jupiter,"Jupiter: Cards, UPI, Banking",0,0,0,0,0,4,0.08,50.0,4.0,-0.093208,0.4,76.78,10000000,0.5802878514318764,0
com.dreamplug.androidapp,"CRED: Credit Cards, Bills, UPI",1,1,0,1,0,4,0.0,50.0,0.0,0.316106,0.18,74.8,50000000,0.47500000475000004,0
in.amazon.mShop.android.shopping,"Amazon India Shop, Pay, miniTV",0,1,1,1,1,1,0.0,49.0,0.0,-0.2813734693877551,0.5102040816326531,75.75510204081633,500000000,0.2500000025,0
com.google.android.apps.nbu.paisa.user,Google Pay: Secure UPI payment,1,1,1,1,0,1,0.0,50.0,0.0,0.02040999999999999,0.32,71.42,1000000000,0.0,0
com.piramal.app.pchf,Piramal Finance - Loans & More,0,0,0,1,0,5,0.143,49.0,7.0,-0.3299714285714286,0.5510204081632653,58.91836734693877,1000000,0.651952030581354,0
com.muthootfinance.imuthoot,iMuthoot Muthoot Finance Loans,0,0,0,0,0,3,0.0,50.0,0.0,-0.19355600000000003,0.46,65.28,10000000,0.49500000495000007,0
in.hanafintech,PayRupik Instant Personal Loan,0,0,1,1,1,5,0.167,48.0,8.0,-0.35622708333333336,0.5833333333333334,74.60416666666667,10000000,0.6730383844809169,1
com.baumenloan.baumenservices,Baumen Loan: Line of Credit,0,1,0,1,0,2,0.469,49.0,23.0,-0.4350244897959184,0.6122448979591837,62.204081632653065,500000,0.9997500049975,1
com.app.flycash,Flycash,0,0,0,0,0,1,0.0,3.0,0.0,0.25806666666666667,0.0,4.0,10,0.5,1
in.kubiz.app,"Kubiz: Loan App, Instant Cash",0,0,0,1,0,4,0.08,50.0,4.0,-0.309708,0.48,35.92,500000,0.5850378514793764,1
com.rupeeredee.app,RupeeRedee - Personal Loan App,0,0,0,0,0,4,0.163,49.0,8.0,-0.30536938775510203,0.5102040816326531,61.265306122448976,10000000,0.6687739921568231,1
com.kksv.salarynowloan,SN Insta Personal Advance Loan,0,0,0,0,0,4,0.0,50.0,0.0,0.543812,0.08,29.68,100000,0.49995000499950004,1
com.easymone,EasyMoney,0,0,0,0,0,1,0.245,49.0,12.0,-0.13646122448979592,0.3469387755102041,16.571428571428573,50000,0.7611690348504963,1
com.flexibee.flexibee,FlexiBee : Secure Data Loan,0,0,0,0,0,5,0.08,50.0,4.0,0.30711,0.14,29.42,500000,0.5850378514793764,1
money.gocredit.ai,GoCredit Instant Personal Loan,0,0,0,0,0,5,0.02,50.0,1.0,0.415786,0.02,9.98,1000000,0.5208219666154691,1
com.pocket.rupee.deal,PocketRupee-Fast Loan,1,1,0,1,1,5,0.02,50.0,1.0,0.20781200000000002,0.22,13.68,50000,0.5212969666202192,1
com.ctl.cashontap,CashOnTap : Instant Cash,0,0,0,0,0,5,0.021,48.0,1.0,0.22020625000000002,0.16666666666666666,8.270833333333334,10000,0.5223830647014426,1
com.loansure.app,LOANSURE,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,7.0,1000,0.49999950499999507,1
com.goodkredit.myapplication.paydaytoday,Payday Today,0,0,0,0,0,1,0.04,50.0,2.0,0.12290200000000001,0.1,13.4,100000,0.5425939282404382,1
com.nayarupee,NayaRupee: Spin & Earn Rewards,0,0,0,0,0,1,0.02,50.0,1.0,0.536516,0.04,32.04,100000,0.5212719666199691,1
rushfunds.cash.advance.payday.personal.loan,RushFunds - Cash Advance & Pay,0,1,0,1,0,3,0.0,13.0,0.0,0.49268461538461533,0.0,15.307692307692308,10000,0.49999500499995003,1
com.anytimerupee,Anytime Rupee,0,0,1,1,0,4,0.0,50.0,0.0,0.6432439999999999,0.08,53.9,1000000,0.499500004995,1
com.rupeproapp,RUPEPRO,0,0,0,0,0,1,0.0,50.0,0.0,0.5499499999999999,0.04,10.24,10000,0.49999500499995003,1
rapidrupee.app,RapidRupee - Personal Loan App,0,0,0,1,0,4,0.1,50.0,5.0,-0.038894,0.4,43.26,1000000,0.6061098130973455,1
kredit.rupee,Kredit Rupee Personal Loan App,0,0,0,0,0,5,0.122,49.0,6.0,0.02162857142857143,0.32653061224489793,32.857142857142854,1000000,0.6295639708798615,1
com.bc.bestcash,Swift Cash - Credit Loans,0,0,0,0,0,4,0.1,30.0,3.0,-0.0233,0.2,10.966666666666667,10000,0.6066048131022954,1
com.zapcash.loan,ZapCash - Quick Loans,0,0,0,0,0,5,0.14,50.0,7.0,-0.25707599999999997,0.42,55.62,100000,0.6492037363427836,1
com.quickpaisa.loanapp,QuickPaisa,0,1,0,1,1,5,0.071,42.0,3.0,0.23280952380952383,0.07142857142857142,10.761904761904763,10000,0.5756879687526153,1
